fromId,toId,distanceMeters,speedKph,undirected
6,50,164.1,5,1
6,51,115.1,5,1
6,52,103.7,5,1
6,58,401.0,5,1
6,81,481.2,5,1
6,82,153.9,5,1
6,91,72.3,5,1
7,13,113.4,5,1
7,14,450.0,5,1
7,15,97.2,5,1
7,20,108.9,5,1
7,22,87.1,5,1
7,40,488.2,5,1
7,41,488.5,5,1
7,47,306.1,5,1
7,49,384.1,5,1
7,50,151.8,5,1
7,51,126.9,5,1
7,52,149.3,5,1
7,58,337.3,5,1
7,79,438.3,5,1
7,81,404.4,5,1
7,82,165.5,5,1
7,91,9.9,5,1
8,25,389.0,5,1
9,14,426.1,5,1
9,20,497.4,5,1
9,28,407.3,5,1
9,40,316.0,5,1
9,41,325.7,5,1
9,49,328.6,5,1
9,50,459.0,5,1
9,58,306.2,5,1
9,79,321.9,5,1
9,82,489.7,5,1
10,11,54.3,5,1
10,17,384.2,5,1
10,18,373.4,5,1
10,29,461.0,5,1
10,30,210.7,5,1
10,43,413.9,5,1
10,44,411.4,5,1
10,45,445.4,5,1
10,47,413.4,5,1
10,48,183.0,5,1
10,62,106.2,5,1
10,63,459.2,5,1
10,64,400.7,5,1
10,65,209.9,5,1
10,66,170.2,5,1
10,83,431.6,5,1
10,89,454.5,5,1
11,17,359.4,5,1
11,18,330.1,5,1
11,29,433.1,5,1
11,30,248.1,5,1
11,34,492.0,5,1
11,36,497.6,5,1
11,43,371.7,5,1
11,44,366.4,5,1
11,45,398.6,5,1
11,46,471.3,5,1
11,47,418.2,5,1
11,48,137.6,5,1
11,61,468.1,5,1
11,62,137.7,5,1
11,63,405.0,5,1
11,64,348.0,5,1
11,65,246.3,5,1
11,66,183.3,5,1
11,83,377.5,5,1
11,89,425.4,5,1
12,14,269.0,5,1
12,18,324.3,5,1
12,23,174.7,5,1
12,27,187.4,5,1
12,28,282.0,5,1
12,31,370.6,5,1
12,32,346.9,5,1
12,33,168.0,5,1
12,34,167.1,5,1
12,35,142.6,5,1
12,36,169.9,5,1
12,37,146.9,5,1
12,38,272.4,5,1
12,39,267.9,5,1
12,40,290.0,5,1
12,41,282.8,5,1
12,46,240.3,5,1
12,49,370.3,5,1
12,53,321.5,5,1
12,54,339.7,5,1
12,55,399.5,5,1
12,56,199.3,5,1
12,57,194.4,5,1
12,58,438.6,5,1
12,61,205.4,5,1
12,63,434.5,5,1
12,68,487.2,5,1
12,70,285.8,5,1
12,71,423.5,5,1
12,78,258.4,5,1
12,79,324.1,5,1
12,80,493.3,5,1
12,81,326.7,5,1
12,83,434.1,5,1
12,84,197.1,5,1
12,86,190.8,5,1
12,87,208.6,5,1
12,92,309.2,5,1
12,93,77.3,5,1
13,14,494.1,5,1
13,15,39.7,5,1
13,20,42.2,5,1
13,22,40.4,5,1
13,47,410.5,5,1
13,49,404.5,5,1
13,50,71.6,5,1
13,51,16.9,5,1
13,52,54.3,5,1
13,58,344.6,5,1
13,79,458.3,5,1
13,81,471.7,5,1
13,82,56.7,5,1
13,91,118.3,5,1
14,15,454.6,5,1
14,18,354.9,5,1
14,20,452.9,5,1
14,22,456.4,5,1
14,23,357.6,5,1
14,27,434.9,5,1
14,28,386.4,5,1
14,33,363.8,5,1
14,34,297.3,5,1
14,35,289.1,5,1
14,36,316.9,5,1
14,37,308.7,5,1
14,40,119.0,5,1
14,41,110.4,5,1
14,46,156.2,5,1
14,47,327.6,5,1
14,49,122.7,5,1
14,50,448.7,5,1
14,51,491.4,5,1
14,56,465.1,5,1
14,57,363.5,5,1
14,58,188.3,5,1
14,61,197.7,5,1
14,78,498.5,5,1
14,79,104.9,5,1
14,81,111.9,5,1
14,82,498.2,5,1
14,84,465.7,5,1
14,86,457.3,5,1
14,87,477.6,5,1
14,91,457.1,5,1
14,93,340.5,5,1
15,20,12.1,5,1
15,22,10.7,5,1
15,40,468.6,5,1
15,41,470.8,5,1
15,47,379.4,5,1
15,49,366.4,5,1
15,50,56.4,5,1
15,51,41.5,5,1
15,52,93.9,5,1
15,58,307.7,5,1
15,79,420.4,5,1
15,81,432.5,5,1
15,82,72.1,5,1
15,91,104.7,5,1
17,24,217.3,5,1
17,29,79.9,5,1
17,30,367.2,5,1
17,43,160.2,5,1
17,44,189.7,5,1
17,45,226.8,5,1
17,48,246.1,5,1
17,62,335.2,5,1
17,63,439.1,5,1
17,64,309.5,5,1
17,65,361.7,5,1
17,66,266.2,5,1
17,83,427.8,5,1
17,89,77.4,5,1
17,90,451.3,5,1
18,23,200.7,5,1
18,27,318.3,5,1
18,33,217.4,5,1
18,34,161.9,5,1
18,35,185.9,5,1
18,36,168.7,5,1
18,37,190.3,5,1
18,40,460.7,5,1
18,41,451.0,5,1
18,43,457.3,5,1
18,44,430.0,5,1
18,45,431.9,5,1
18,46,198.8,5,1
18,47,376.7,5,1
18,48,331.6,5,1
18,49,472.3,5,1
18,53,374.9,5,1
18,56,391.1,5,1
18,57,181.7,5,1
18,61,165.9,5,1
18,62,467.4,5,1
18,63,241.0,5,1
18,64,310.8,5,1
18,66,499.5,5,1
